PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Customer Material Code,Extracted Material Code,Source File
140199,02/05/2026,04/06/2026,"203393 Wako Industry Co., Ltd.",Envalior B.V.,,,,X,,,0088104000,STANYL TS250F6D-9B0040 BLACK PA46 NYLON 30% GF BLACK UL94V-0,114100,YEN,02/19/2026,,,11B1,Molex+PO1014458377_20260205_042506_AQMkAGEz.pdf
140199,02/05/2026,04/06/2026,"203393 Wako Industry Co., Ltd.",Envalior B.V.,,,,X,,,0088104000,STANYL TS250F6D-9B0040 BLACK PA46 NYLON 30% GF BLACK UL94V-0,228200,YEN,04/06/2026,,,11B1,Molex+PO1014458377_20260205_042506_AQMkAGEz.pdf
4682803,05/02/2026,03/03/2026,SUEDPACK,Envalior B.V.,E00760,,,X,,,E00760,PA-AKULON F132-E1,25000,Kilogram,03/03/2026,,,8305515,"SÜDPACK-Bestellung 4682803, vom 05.02.2026.PDF"
4674421,26/11/2025,11/12/2025,ECOFORM MULTIFOL,Envalior B.V.,E01514,,,X,,,E01514,PA-AKULON F132-E1,22000,Kilogram,11/12/2025,,,8305516,"SÜDPACK-Bestellung4674421,vom26.11.2025_20260212081032.720_X.pdf"
4500297688,08/01/2026,18/02/2026,Wipak Walsrode GmbH,Envalior B.V.,4020036739,2500,KB,X,4020043517,Wipak Walsrode GmbH,4020036739,Akulon XS36-C1,10,KG,18/02/2026,0000038779,510000302,510000302,"Wipak Purchase Order 4500297688, 500009, 08.01.202.PDF"
4500297688,08/01/2026,18/02/2026,Wipak Walsrode GmbH,Envalior B.V.,4020036739,2500,KB,X,4020043517,Wipak Walsrode GmbH,4020036739,Akulon XS36-C1,20,KG,26/02/2026,0000038779,510000302,510000302,"Wipak Purchase Order 4500297688, 500009, 08.01.202.PDF"
BE-25-02803,01/12/2025,,GBENATO VITATONOU,Envalior B.V.,,,,X,,,0088104000,Produkt 1,100,Stück,,,,12345,body_AQMkAGEz_FW_ Bestellung BE-25-02803 _ 1475444_ 1475451_ 1475454.txt
BE-25-02803,01/12/2025,,GBENATO VITATONOU,Envalior B.V.,,,,X,,,0088104000,Produkt 2,50,Stück,,,,67890,body_AQMkAGEz_FW_ Bestellung BE-25-02803 _ 1475444_ 1475451_ 1475454.txt
BE-25-01212,,,CSC-Distribution,Envalior B.V.,,,,X,,,0088104000,F-X22092,1000,kg,,,,60477,body_AQMkAGEz_FW_ MF__WG_ Bestellung BE-25-01212.txt
BE-25-01212,,,CSC-Distribution,Envalior B.V.,,,,X,,,0088104000,F-X22092,500,kg,,,,60477,body_AQMkAGEz_FW_ MF__WG_ Bestellung BE-25-01212.txt
1014253006,15/12/2025,,MOLEX LLC,Envalior B.V.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,STANYL TS250F6D_NC_NATURAL,1000,KGM,16 Jan 2026,,,0899920793,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014253006.txt"
1014253006,15/12/2025,,MOLEX LLC,Envalior B.V.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,STANYL TS250F6D_NC_NATURAL,1000,KGM,26 Jan 2026,,,0899920793,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014253006.txt"
1014340779,08/01/2026,,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,STANYL_46HF4550_11000_BLACK,300.000,KGM,16 Jan 2026,,,0899921583,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014340779.txt"
1014374731,16/01/2026,28/01/2026,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,STANYL_46HF4550_11000_BLACK,25000,KGM,28/01/2026,,,0899921583,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014374731.txt"
AN01009227077,05/02/2026,19/02/2026,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,STANYL TS250F6D_9B0040_BLACK,100000,KGM,19/02/2026,,,0899920756,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014458377.txt"
AN01009227077,05/02/2026,19/02/2026,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,STANYL TS250F6D_9B0040_BLACK,200000,KGM,06/04/2026,,,0899920756,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014458377.txt"
