PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Customer Material Code,Extracted Material Code,Customer Group 2,SO Grouping Rule,Employee Responsible,Email Responsible,Sender Email,Source File,Run Timestamp
CVN0107414,13-07-2026,01-11-2026,INABATA INDIA PVT LTD,Envalior B.V.,4020027406,2720,TA,X,4020015996,Vijaylaxmi Traders Vijaylaxmi Traders,4020027406,TUFBET BGF30 BLACK,24000,KG,01-11-2026,,,TUFBET BGF30 BLACK,-,ONE SO PER PO,PALLAVI POLKAMWAR,PALLAVI.POLKAMWAR@ENVALIOR.COM,PALLAVI.POLKAMWAR@ENVALIOR.COM,CSG0152081.pdf,29-07-2026 23:46
933/26,21-07-2026,05-10-2026,Caminada s.r.l,Envalior B.V.,4020041633,2545,TA,X,4020041633,Caminada s.r.l. Caminada s.r.l.,4020041633,PBT - POCAN BF 4232 NATURALE,3000,KG,05-10-2026,51413,MP-PBT002A30X0AE0000,MP-PBT002A30X0AE0000,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,ENVALIOR - ORD. 933.26.PDF,29-07-2026 23:46
WSPO/2026/078,08-05-2026,22-06-2026,Wah Sin Industrial Pte. Ltd,Envalior B.V.,4020038094,2780,TA,X,4020038094,"Wah Sin Industrial Pte. Ltd. Wah Sin Industrial Pte. Ltd.519 Balestier Road, 519 Balestier Road,",4020038094,PA/ N6 DURETHAN BKV 30 H2.0 901510,3000,KG,22-06-2026,50263,PA/ N6 DURETHAN BKV 30 H2.0 901510,BKV 30 H2.0 901510,-,ONE SO PER PO,EMILY NG,EMILY.NG@ENVALIOR.COM,EMILY.NG@ENVALIOR.COM,ENVALIOR PO2026-078.pdf,29-07-2026 23:46
I34/0000576,31-03-2026,09-04-2026,SISTEMAS TECNICOS DEL ACCESORIO Y COMPON,Envalior B.V.,4020020721,2500,TA,X,4020036662,Envalior Deutschland GmbH Envalior Deutschland GmbH,4020020721,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,09-04-2026,,,STM-MP-DURB29,-,ONE SO PER PO,MARCELA CARRASQUILLA,CUSTOMERCARE-EU03@ENVALIOR.COM,CUSTOMERCARE-EU03@ENVALIOR.COM,I34-576.pdf,29-07-2026 23:46
I34/0000577,31-03-2026,10-04-2026,SISTEMAS TECNICOS DEL ACCESORIO Y COMPON,Envalior B.V.,4020020721,2500,TA,X,4020036662,Envalior Deutschland GmbH Envalior Deutschland GmbH,4020020721,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,10-04-2026,,,STM-MP-DURB29,-,ONE SO PER PO,MARCELA CARRASQUILLA,CUSTOMERCARE-EU03@ENVALIOR.COM,CUSTOMERCARE-EU03@ENVALIOR.COM,I34-577.pdf,29-07-2026 23:46
I34/0000578,31-03-2026,13-04-2026,SISTEMAS TECNICOS DEL ACCESORIO Y COMPON,Envalior B.V.,4020020721,2500,TA,X,4020036662,Envalior Deutschland GmbH Envalior Deutschland GmbH,4020020721,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,13-04-2026,,,STM-MP-DURB29,-,ONE SO PER PO,MARCELA CARRASQUILLA,CUSTOMERCARE-EU03@ENVALIOR.COM,CUSTOMERCARE-EU03@ENVALIOR.COM,I34-578.pdf,29-07-2026 23:46
I34/0000579,31-03-2026,14-04-2026,SISTEMAS TECNICOS DEL ACCESORIO Y COMPON,Envalior B.V.,4020020721,2500,TA,X,4020036662,Envalior Deutschland GmbH Envalior Deutschland GmbH,4020020721,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,14-04-2026,,,STM-MP-DURB29,-,ONE SO PER PO,MARCELA CARRASQUILLA,CUSTOMERCARE-EU03@ENVALIOR.COM,CUSTOMERCARE-EU03@ENVALIOR.COM,I34-579.pdf,29-07-2026 23:46
I34/0000580,31-03-2026,14-04-2026,SISTEMAS TECNICOS DEL ACCESORIO Y COMPON,Envalior B.V.,4020020721,2500,TA,X,4020044845,Sistemas Technicos del Accesorio y Sistemas Technicos del Accesorio yComponentes S.L. Componentes S.L.,4020020721,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,14-04-2026,,,STM-MP-DURB29,-,ONE SO PER PO,MARCELA CARRASQUILLA,CUSTOMERCARE-EU03@ENVALIOR.COM,CUSTOMERCARE-EU03@ENVALIOR.COM,I34-580.pdf,29-07-2026 23:46
I34/0000581,31-03-2026,15-04-2026,SISTEMAS TECNICOS DEL ACCESORIO Y COMPON,Envalior B.V.,4020020721,2500,TA,X,4020036662,Envalior Deutschland GmbH Envalior Deutschland GmbH,4020020721,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,15-04-2026,,,STM-MP-DURB29,-,ONE SO PER PO,MARCELA CARRASQUILLA,CUSTOMERCARE-EU03@ENVALIOR.COM,CUSTOMERCARE-EU03@ENVALIOR.COM,I34-581.pdf,29-07-2026 23:46
M01Y-010-05326009,03-04-2026,15-06-2026,"LS ELECTRIC Co., Ltd.",Envalior B.V.,4020038206,2780,TA,X,4020038206,"LS ELECTRIC Co., Ltd. LS ELECTRIC Co., Ltd.",4020038206,"RESIN,PA66,DP2851/30 H3.0 GF30%,LIGHT GRAY,V0,LANXESS(703127)",10000,KG,15-06-2026,51113,"RESIN,PA66,DP2851/30 H3.0 GF30%,LIG",41810000355,-,ONE SO PER PO,CLARE JIN,CLARE.JIN@ENVALIOR.COM,CLARE.JIN@ENVALIOR.COM,IMPORT_PO_M01Y-010-05326009 (1).pdf,29-07-2026 23:46
516,06-05-2026,27-07-2026,LOGITAL S.R.L.,Envalior B.V.,,,TA,X,,,,PA AKULON ® K223-KMV6 KN.01.74. 71103 GREY 25KG - BTICINO COD. MP/27250,3750,KG,27-07-2026,,,Akulon K223-KMV6 KN.01.74. 71103 GREY,,ONE SO PER PO,,CustomerCare-EU@envalior.com,CustomerCare-EU@envalior.com,OA LOGITAL NO 516-2026.pdf,29-07-2026 23:46
P000073171,24-07-2026,11-08-2026,Nylacast Engineered Products Limited,Envalior B.V.,4020042819,2540,TA,X,4020042456,Viva Nylons Limited Viva Nylons Limited,4020042819,LIQUID CAPROLACTAM / CAPROLACTAM LIQUID,27000,KG,11-08-2026,53398,NYLACHEM38,NYLACHEM38,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,P000073171.pdf,29-07-2026 23:46
PA2026143,29-04-2026,08-06-2026,Planet Asia Pte Ltd,Envalior B.V.,4020038225,2780,TA,X,4020038108,Planet Asia Pte Ltd Planet Asia Pte Ltd,4020038225,Durethan BKV60H2.0EF 900116 M60R1 (ECO grade),10000,KG,08-06-2026,60284,BKV60H2.0EF 900116 M60R1,Durethan BKV60H2.0EF 900116 M60R1,-,ONE SO PER PO,XUDONG SUN,XUDONG.SUN@ENVALIOR.COM,XUDONG.SUN@ENVALIOR.COM,PA2026143 Envalior Durethan ECO grade.pdf,29-07-2026 23:46
PO-04749,28-04-2026,01-10-2026,SECO TECHNOLOGY SDN BHD,Envalior B.V.,4020045040,2730,TA,X,4020045050,PT LB TECHNOLOGIES BATAM PT LB TECHNOLOGIES BATAMKOMPLEK SARANA INDUSTRIAL POINT KOMPLEK SARANA INDUSTRIAL POINT,4020045040,ARNITE T06200 GN50301 SE GREEN 2 POCAN B1906 650153 **ETA ON JULY,200,KG,,43570,POCAN B1906 650153,ARNITE T06200,-,ONE SO PER PO,XUDONG SUN,XUDONG.SUN@ENVALIOR.COM,XUDONG.SUN@ENVALIOR.COM,PO-04749-REVISED ITEM 1 (1).pdf,29-07-2026 23:46
PO-04749,28-04-2026,01-10-2026,SECO TECHNOLOGY SDN BHD,Envalior B.V.,4020045040,2730,TA,X,4020045050,PT LB TECHNOLOGIES BATAM PT LB TECHNOLOGIES BATAMKOMPLEK SARANA INDUSTRIAL POINT KOMPLEK SARANA INDUSTRIAL POINT,4020045040,PBT ARNITE T06200 GREY S20622 ARNITE T06 200/D S2.06.22 ** ETA ON 1ST AUG,5000,KG,,22543,T06200D\S2.06.22,ARNITE T06200 (RL7016),-,ONE SO PER PO,XUDONG SUN,XUDONG.SUN@ENVALIOR.COM,XUDONG.SUN@ENVALIOR.COM,PO-04749-REVISED ITEM 1 (1).pdf,29-07-2026 23:46
PO-04749,28-04-2026,01-10-2026,SECO TECHNOLOGY SDN BHD,Envalior B.V.,4020045040,2730,TA,X,4020045050,PT LB TECHNOLOGIES BATAM PT LB TECHNOLOGIES BATAMKOMPLEK SARANA INDUSTRIAL POINT KOMPLEK SARANA INDUSTRIAL POINT,4020045040,ARNITE TV4 264 SN F8.04.82 WHITE POCAN BF4232 S101 010190 **ETA ON END AUG,10000,KG,,48506,ARNITE TV4264 SN F8.04.82 WHITE,ARNITE TV4 264,-,ONE SO PER PO,XUDONG SUN,XUDONG.SUN@ENVALIOR.COM,XUDONG.SUN@ENVALIOR.COM,PO-04749-REVISED ITEM 1 (1).pdf,29-07-2026 23:46
PO-04900,02-07-2026,01-02-2025,One City Centre,Envalior B.V.,,,TA,X,,,,AKULON K225 KS / Durethan B30SFN32 703435 BC100N Grey,1000,KG,01-02-2025,,,GY34011,,ONE SO PER PO,,CustomerCare-EU@envalior.com,CustomerCare-EU@envalior.com,PO-04900 ENVALIOR (1).pdf,29-07-2026 23:46
11750120,17-04-2026,15-07-2025,Pegasus Polymers Pte. Ltd,Envalior B.V.,4020030911,2720,TA,X,4020030911,Pegasus Polymers Pte. Ltd. Pegasus Polymers Pte. Ltd.,4020030911,Akulon K222-KGV4/BK25019 / Durethan BKV20FN21 90011 BLACK BK25019,200,KG,15-07-2025,21161,BKV20FN21 90011 BLACK BK25019,BKV20FN21 90011 BLACK BK25019,-,ONE SO PER PO,XUDONG SUN,XUDONG.SUN@ENVALIOR.COM,XUDONG.SUN@ENVALIOR.COM,Purchase Order  (11750120) (1).pdf,29-07-2026 23:46
11861686,02-06-2026,30-07-2026,Pegasus Polymers Pte. Ltd,Envalior B.V.,4020038865,2780,TA,X,4020038865,Pegasus Polymers Pte. Ltd. Pegasus Polymers Pte. Ltd.,4020038865,EcoPaXX Q-150D BLACK BK00001; Supplier Product Reference: 46684,1600,KG,30-07-2026,,,EcoPaXX Q-150D BLACK BK00001,-,ONE SO PER PO,EMILY NG,EMILY.NG@ENVALIOR.COM,EMILY.NG@ENVALIOR.COM,Purchase Order  (11861686)-1.pdf,29-07-2026 23:46
11923197,02-07-2026,15-07-2026,Pegasus Polymers Pte. Ltd,Envalior B.V.,4020030911,2700,TA,X,4020036473,Naigai Nitto (S) Pte Ltd Naigai Nitto (S) Pte Ltd,4020030911,Stanyl TW241 F12 NATURAL NA99001,50,KG,15-07-2026,43590,,Stanyl TW241 F12 NATURAL NA99001,-,ONE SO PER PO,XUDONG SUN,XUDONG.SUN@ENVALIOR.COM,XUDONG.SUN@ENVALIOR.COM,Purchase Order  (11923197) (1).pdf,29-07-2026 23:46
11965102,21-07-2026,25-08-2026,Ravago Italia SpA,Envalior B.V.,4020040048,2545,TA,X,4020042719,Ravago Italia SpA Ravago Italia SpA,4020040048,Durethan P27 NATURAL 000000,22000,KG,25-08-2026,61620,55272,Durethan P27 NATURAL 000000,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,Purchase Order  (11965102).pdf,29-07-2026 23:46
14029941,16-07-2026,28-08-2026,Stigma UAB,Envalior B.V.,4020039689,2500,TA,X,4020039689,Stigma UAB Stigma UAB,4020039689,PA-6 Durethan BKV230D (Akulon K224-PG6),4125,KG,28-08-2026,19573,PA-6_16,PA-6_16,-,ONE SO PER PO,LIZA BETY,CUSTOMERCARE-EU05@ENVALIOR.COM,CUSTOMERCARE-EU05@ENVALIOR.COM,Purchase order 14945 (1).pdf,29-07-2026 23:46
4406342278,24-07-2026,17-09-2026,A. Schulman GmbH,Envalior B.V.,4020042164,2540,TA,X,4020042164,A. Schulman GmbH A. Schulman GmbH,4020042164,PA 6 MV DURETHAN P27 PEL BT ENVALIOR,25000,KG,17-09-2026,53380,2077710,2077710,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,Purchase Order 4406342278.PDF,29-07-2026 23:46
849474,26-07-2024,12-08-2026,Mitsubishi Chemical Advanced Materials,Envalior B.V.,4020000669,2500,TA,X,4020042625,Mitsubishi Chemical Mitsubishi ChemicalAdvanced Materials B.V. Advanced Materials B.V.,4020000669,"CAPROLACTAM EU, Item No: 06030000976",28000,KG,12-08-2026,5028468,,6030000976,-,ONE SO PER PO,DANIA KAAKI,CUSTOMERCARE-EU02@ENVALIOR.COM,CUSTOMERCARE-EU02@ENVALIOR.COM,Purchase order _ 849474 - ENVALIOR DEUTSCHLAND BE.pdf,29-07-2026 23:46
201994,22-07-2026,16-09-2026,Fraenkische CZ s.r.o,Envalior B.V.,4020004231,2500,TA,X,4020004231,Fraenkische CZ s.r.o. Fraenkische CZ s.r.o.,4020004231,TPC ARNITEL PB500-H,1250,KG,16-09-2026,24554,909737,909737,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,YYBST13D.pdf,29-07-2026 23:46
PON-2607-0002,01-07-2026,30-07-2026,Tetro Ltd,Envalior B.V.,4020022539,2700,TA,X,4020037263,东莞泰都实业有限公司 东莞泰都实业有限公司,4020022539,PA6+30%GF BKV30 000000 DUS800(K224-G6) Natural,10000,KG,30-07-2026,15040,50016819,50016819,-,ONE SO PER PO,JERRY LIU,JERRY.LIU@ENVALIOR.COM,JERRY.LIU@ENVALIOR.COM,恩骅力PON-2607-0002 (2).pdf,29-07-2026 23:46
4675827,08-12-2025,21-01-2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020033707,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,21-01-2026,61567,8305515,8305515,Z01,ONE SO PER PO,,,,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF,29-07-2026 23:46
4675827,08-12-2025,21-01-2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020033707,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,22-01-2026,61567,8305515,8305515,Z01,ONE SO PER PO,,,,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF,29-07-2026 23:46
4675827,08-12-2025,21-01-2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020033707,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,23-01-2026,61567,8305515,8305515,Z01,ONE SO PER PO,,,,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF,29-07-2026 23:46
4675827,08-12-2025,21-01-2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020033707,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,26-01-2026,61567,8305515,8305515,Z01,ONE SO PER PO,,,,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF,29-07-2026 23:46
4675827,08-12-2025,21-01-2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020033707,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,27-01-2026,61567,8305515,8305515,Z01,ONE SO PER PO,,,,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF,29-07-2026 23:46
4675827,08-12-2025,21-01-2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020033707,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,28-01-2026,61567,8305515,8305515,Z01,ONE SO PER PO,,,,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF,29-07-2026 23:46
1.2102E+11,20-10-2025,03-12-2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,"塑膠粒 H25 Purple 3-PM18, TS200F6/A MB_VI62100 入庫倉:MBK10NFT",1000,kg,03-12-2025,61026,901-42R2-002,901-42R2-002,-,SEPARATE SO PER ITEM,,,,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf,29-07-2026 23:46
1.2102E+11,20-10-2025,03-12-2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,"塑膠粒 H25 Black 7-PM6, TS200F6/A MB, BK29036 入庫倉:MBK10NFT",1000,kg,03-12-2025,60900,901-44R2-002,901-44R2-002,-,SEPARATE SO PER ITEM,,,,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf,29-07-2026 23:46
1.2102E+11,20-10-2025,03-12-2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,Stanyl TS200F6 A-MB H25 Orange 2-PM6_OR63400 入庫倉:MBK10NFT,1000,kg,03-12-2025,60993,901-51R2-002,901-51R2-002,-,SEPARATE SO PER ITEM,,,,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf,29-07-2026 23:46
BE25-00614,17-09-2025,14-10-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,24000,KG,14-10-2025,61567,111102 SILO,111102,Z01,ONE SO PER PO,,,,BestellungBE25-00614_20260211164808.475_X.pdf,29-07-2026 23:46
BE25-00614,17-09-2025,14-10-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,24000,KG,16-10-2025,61567,111102 SILO,111102,Z01,ONE SO PER PO,,,,BestellungBE25-00614_20260211164808.475_X.pdf,29-07-2026 23:46
BE25-00614,17-09-2025,14-10-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,24000,KG,21-10-2025,61567,111102 SILO,111102,Z01,ONE SO PER PO,,,,BestellungBE25-00614_20260211164808.475_X.pdf,29-07-2026 23:46
BE25-00614,17-09-2025,14-10-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,24000,KG,28-10-2025,61567,111102 SILO,111102,Z01,ONE SO PER PO,,,,BestellungBE25-00614_20260211164808.475_X.pdf,29-07-2026 23:46
BE-26-00192,15-01-2026,03-02-2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,03-02-2026,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,Bestellung BE-26-00192.pdf,29-07-2026 23:46
BE-26-00192,15-01-2026,03-02-2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,05-02-2026,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,Bestellung BE-26-00192.pdf,29-07-2026 23:46
