PO_NUMBER,SO_NUMBER,STATUS,SALES_ORG,CUSTOMER_NAME,SOURCE_FILE,RUN_TIMESTAMP
P2026070003850,1536440,SUCCESS,2710,"GLOBAL POLYACETAL CO., LTD.",GPAC注文書_1000030223GK101_20260721140822921.pdf,2026-07-28T08:59:53.272709
PO263152,1536309,SUCCESS,2540,RADKA spol. s.r.o. Pardubice,body_AAMkAGEz_FW_ Envalior New order - 0001552110 (PO263152) for RADKA spol. s.r,2026-07-28T08:59:53.272709
133,1536335,SUCCESS,2545,Sistema SRL,133.PDF,2026-07-28T08:59:53.272709
197442,1536336,SUCCESS,2540,Fiberweb France SAS,OA197442_ENVALIOR DEUTSCHLAND GMBH.pdf,2026-07-28T08:59:53.272709
4504165004,1536441,SUCCESS,2710,BANDO KAGAKU BANDO KAGAKUDENDO JIGYOBU DENDO JIGYOBU,4504165004_20260721040217.001_X.pdf,2026-07-28T08:59:53.272709
OP30001261,1536337,SUCCESS,2730,OMNI-PLUS SYSTEM LIMITED,OP30001261.pdf,2026-07-28T08:59:53.272709
P00QJXN,1536442,SUCCESS,2710,ASAHI KASEI ADVANCE CORPORATION ASAHI KASEI ADVANCE CORPORATIONPerformance Plast,注文書.pdf,2026-07-28T08:59:53.272709
PO2607000019,1536443,SUCCESS,2760,"Valeo Samsung Thermal Systems Co., Ltd.",[우주테크] 삼성발레오_20260714 납기 발주건 (1)_AAMkAGEz.pdf,2026-07-28T08:59:53.272709
150,1536338,SUCCESS,2545,Sistema SRL,150.PDF,2026-07-28T08:59:53.272709
5260404,1536310,SUCCESS,2540,Kora a.s,Objednávka_5260404_20260512_084548.pdf,2026-07-28T08:59:53.272709
10260859,1536339,SUCCESS,2540,Gaudlitz Precision s.r.o,"10260859 - Envalior Deutschland GmbH, G0000559-00 Durethan BKV140 H2.0 900051 DU",2026-07-28T08:59:53.272709
12545,1536284,SUCCESS,2610,"DIVERSIFIED ENGINEERING & PLASTICS, LLC",DEP_PURCHORD_MATERIAL.pdf,2026-07-28T08:59:53.272709
2415935002,1536444,SUCCESS,2540,Covestro Deutschland AG,2415935002.pdf,2026-07-28T08:59:53.272709
4500090003,1536297,SUCCESS,2540,BOURBON Automotive Plastic Nitra,PO 4500090003.pdf,2026-07-28T08:59:53.272709
4500749415,1536248,SUCCESS,2600,PURE FISHING AMERICA,4500749415 118680 0020.pdf,2026-07-28T08:59:53.272709
7219763,1536340,SUCCESS,2545,Aerovac Mondovì Srl,Purchase order 7219763.pdf,2026-07-28T08:59:53.272709
H266860-HSD-260616,1536341,SUCCESS,2700,海星科技(深圳)有限公司 海星科技(深圳)有限公司,H266860-HSD-260616.pdf,2026-07-28T08:59:53.272709
OP30001368,1536342,SUCCESS,2710,OMNI-PLUS SYSTEM LIMITED,OP30001368.pdf,2026-07-28T08:59:53.272709
P00QM1V,1536445,SUCCESS,2710,ASAHI KASEI ADVANCE CORPORATION ASAHI KASEI ADVANCE CORPORATIONPerformance Plast,9.1納品_AAMkAGEz.pdf,2026-07-28T08:59:53.272709
P2026070003860,1536446,SUCCESS,2710,"GLOBAL POLYACETAL CO., LTD.",GPAC注文書_1000030223GK101_20260721140924280_AAMkAGEz.pdf,2026-07-28T08:59:53.272709
R205614,1536260,SUCCESS,2600,Scherdel Wiesauplast de México S. de R.L Scherdel Wiesauplast de México S. de,NUEVA PO R205614 - ENVALIOR (2).pdf,2026-07-28T08:59:53.272709
1015132885,1536263,SUCCESS,2710,NIHON MOLEX,Molex+PO1015132885_20260707_013755.pdf,2026-07-28T08:59:53.272709
1210800981N,1536351,SUCCESS,2730,Fuyu Electronical Technology (Huaian),7dba81c3-caee-4880-9a80-e747fa72affe.pdf,2026-07-28T08:59:53.272709
22689,1536264,SUCCESS,2720,BALAJI POLYMERS,ENVALIOR PO 22689.pdf,2026-07-28T08:59:53.272709
26 055138 A2,1536390,SUCCESS,2545,Scame Mastaf SpA,55138.pdf,2026-07-28T08:59:53.272709
302323-AMP,1536448,SUCCESS,2600,EVCO PLASTICS,302323-AMP (1).pdf,2026-07-28T08:59:53.272709
4506130557,1536265,SUCCESS,2721,HAVELLS INDIA LIMITED,PO_4506130557.pdf,2026-07-28T08:59:53.272709
AS-20260301,1536279,SUCCESS,2700,ALLIANCE SHINE (S) PTE LTD,AS-20260301 (Envalior Jiangsu).pdf,2026-07-28T08:59:53.272709
H264281-HSD-260506,1536352,SUCCESS,2700,海星科技(深圳)有限公司 海星科技(深圳)有限公司,H264281-HSD-260506.pdf,2026-07-28T08:59:53.272709
M01Y-010-05326009,1536391,SUCCESS,2780,"LS ELECTRIC Co., Ltd.",IMPORT_PO_M01Y-010-05326009.pdf,2026-07-28T08:59:53.272709
P 202651204 /0,1536280,SUCCESS,2700,HELLERMANNTYTON PTE LTD,202651204.pdf,2026-07-28T08:59:53.272709
PO0001457,1536353,SUCCESS,2540,Moulage Technique Soufflage SAS,COA 1546699.pdf,2026-07-28T08:59:53.272709
PO27582,1536396,SUCCESS,2600,NEATON AUTO PRODUCTS MFG,scan_carinna.denlinger_2026-06-26-14-17-47.pdf,2026-07-28T08:59:53.272709
VO-2026-311-000149,1536450,SUCCESS,2540,CEGAN s.r.o,VO-2026-311-000149.pdf,2026-07-28T08:59:53.272709
2434,1536273,SUCCESS,2500,M & Q Packaging Ltd,Purchase Order 2434.pdf,2026-07-28T08:59:53.272709
450012469,1536274,SUCCESS,2780,Nagase Singapore (Pte) Ltd,450012469 Pocan.pdf,2026-07-28T08:59:53.272709
4518398334,1536332,SUCCESS,2540,NB POLSKA SP. z o.o,4518398334.pdf,2026-07-28T08:59:53.272709
PC26-01447,1536354,SUCCESS,2500,PANDROL IBERICA SAU,PC26-01447 ENVALIOR MRP+ Stock.pdf,2026-07-28T08:59:53.272709
1.2108E+11,1536235,SUCCESS,2730,"Fuyu Electronical Technology (Huaian) Fuyu Electronical Technology (Huaian)Co.,L",b7215c58-c160-45fa-8f5f-25a401d2d486.pdf,2026-07-28T08:59:53.272709
4518398334,1536333,SUCCESS,2540,NB POLSKA SP. z o.o,4518398334.pdf,2026-07-28T08:59:53.272709
H262679-HSD-260412,1536355,SUCCESS,2700,海星科技(深圳)有限公司 海星科技(深圳)有限公司,H262679-HSD-260412R1.pdf,2026-07-28T08:59:53.272709
P213826,1536275,SUCCESS,2500,Legrand Elektrik Sanayi A.S,P213826 - Envalior.pdf,2026-07-28T08:59:53.272709
