PO_NUMBER,SO_NUMBER,STATUS,BLOCK_CODE,BLOCK_REASON,FAILURE_REASON,SALES_ORG,CUSTOMER_NAME,SOURCE_FILE,RUN_TIMESTAMP
7219763,0001536340,SUCCESS,,,,2545,Aerovac Mondovì Srl,Purchase order 7219763.pdf,2026-07-28T08:59:53.272709
H266860-HSD-260616,0001536341,SUCCESS,,,,2700,海星科技(深圳)有限公司 海星科技(深圳)有限公司,H266860-HSD-260616.pdf,2026-07-28T08:59:53.272709
OP30001368,0001536342,SUCCESS,,,,2710,OMNI-PLUS SYSTEM LIMITED,OP30001368.pdf,2026-07-28T08:59:53.272709
P00QM1V,0001536445,SUCCESS,,,,2710,ASAHI KASEI ADVANCE CORPORATION ASAHI KASEI ADVANCE CORPORATIONPerformance Plast,9.1納品_AAMkAGEz.pdf,2026-07-28T08:59:53.272709
P2026070003860,0001536446,SUCCESS,,,,2710,"GLOBAL POLYACETAL CO., LTD.",GPAC注文書_1000030223GK101_20260721140924280_AAMkAGEz.pdf,2026-07-28T08:59:53.272709
R205614,0001536260,SUCCESS,,,,2600,Scherdel Wiesauplast de México S. de R.L Scherdel Wiesauplast de México S. de,NUEVA PO R205614 - ENVALIOR (2).pdf,2026-07-28T08:59:53.272709
1015132885,0001536263,SUCCESS,,,,2710,NIHON MOLEX,Molex+PO1015132885_20260707_013755.pdf,2026-07-28T08:59:53.272709
1210800981N,0001536351,SUCCESS,,,,2730,Fuyu Electronical Technology (Huaian),7dba81c3-caee-4880-9a80-e747fa72affe.pdf,2026-07-28T08:59:53.272709
22689,0001536264,SUCCESS,,,,2720,BALAJI POLYMERS,ENVALIOR PO 22689.pdf,2026-07-28T08:59:53.272709
26 055138 A2,0001536390,SUCCESS,,,,2545,Scame Mastaf SpA,55138.pdf,2026-07-28T08:59:53.272709
302323-AMP,0001536448,SUCCESS,,,,2600,EVCO PLASTICS,302323-AMP (1).pdf,2026-07-28T08:59:53.272709
4506130557,0001536265,SUCCESS,,,,2721,HAVELLS INDIA LIMITED,PO_4506130557.pdf,2026-07-28T08:59:53.272709
AS-20260301,0001536279,SUCCESS,,,,2700,ALLIANCE SHINE (S) PTE LTD,AS-20260301 (Envalior Jiangsu).pdf,2026-07-28T08:59:53.272709
H264281-HSD-260506,0001536352,SUCCESS,,,,2700,海星科技(深圳)有限公司 海星科技(深圳)有限公司,H264281-HSD-260506.pdf,2026-07-28T08:59:53.272709
M01Y-010-05326009,0001536391,SUCCESS,,,,2780,"LS ELECTRIC Co., Ltd.",IMPORT_PO_M01Y-010-05326009.pdf,2026-07-28T08:59:53.272709
P 202651204 /0,0001536280,SUCCESS,,,,2700,HELLERMANNTYTON PTE LTD,202651204.pdf,2026-07-28T08:59:53.272709
PO0001457,0001536353,SUCCESS,,,,2540,Moulage Technique Soufflage SAS,COA 1546699.pdf,2026-07-28T08:59:53.272709
PO27582,0001536396,SUCCESS,,,,2600,NEATON AUTO PRODUCTS MFG,scan_carinna.denlinger_2026-06-26-14-17-47.pdf,2026-07-28T08:59:53.272709
VO-2026-311-000149,0001536450,SUCCESS,,,,2540,CEGAN s.r.o,VO-2026-311-000149.pdf,2026-07-28T08:59:53.272709
2434,0001536273,SUCCESS,,,,2500,M & Q Packaging Ltd,Purchase Order 2434.pdf,2026-07-28T08:59:53.272709
450012469,0001536274,SUCCESS,,,,2780,Nagase Singapore (Pte) Ltd,450012469 Pocan.pdf,2026-07-28T08:59:53.272709
4518398334,0001536332,SUCCESS,,,,2540,NB POLSKA SP. z o.o,4518398334.pdf,2026-07-28T08:59:53.272709
PC26-01447,0001536354,SUCCESS,,,,2500,PANDROL IBERICA SAU,PC26-01447 ENVALIOR MRP+ Stock.pdf,2026-07-28T08:59:53.272709
121080108064,0001536235,SUCCESS,,,,2730,"Fuyu Electronical Technology (Huaian) Fuyu Electronical Technology (Huaian)Co.,L",b7215c58-c160-45fa-8f5f-25a401d2d486.pdf,2026-07-28T08:59:53.272709
4518398334,0001536333,SUCCESS,,,,2540,NB POLSKA SP. z o.o,4518398334.pdf,2026-07-28T08:59:53.272709
H262679-HSD-260412,0001536355,SUCCESS,,,,2700,海星科技(深圳)有限公司 海星科技(深圳)有限公司,H262679-HSD-260412R1.pdf,2026-07-28T08:59:53.272709
P213826,0001536275,SUCCESS,,,,2500,Legrand Elektrik Sanayi A.S,P213826 - Envalior.pdf,2026-07-28T08:59:53.272709
