PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Extracted Material Code,Source File
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,kg,26/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE25-00880,31/12/2025,20/01/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,24000,KG,20/01/2026,,111102,Bestellung BE25-00880.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,02/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,04/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,05/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,06/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,09/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,10/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,11/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,12/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,13/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,16/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,18/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,19/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,20/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,23/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,24/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,25/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,26/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,27/02/2026,,111102,Bestellung BE26-00030.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,02/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,04/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,05/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,06/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,09/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,10/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,11/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,12/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,13/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,16/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,18/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,19/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,20/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,23/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,24/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,25/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,26/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE26-00030,15/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,25000,KG,27/02/2026,,111102,Bestellung BE26-00030_AQMkAGEz.pdf
BE25-00614,17/09/2025,14/10/2025,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,24000,KG,14/10/2025,,111102,BestellungBE25-00614_20260211164808.475_X.pdf
BE25-00614,17/09/2025,14/10/2025,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,24000,KG,16/10/2025,,111102,BestellungBE25-00614_20260211164808.475_X.pdf
BE25-00614,17/09/2025,14/10/2025,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,24000,KG,21/10/2025,,111102,BestellungBE25-00614_20260211164808.475_X.pdf
BE25-00614,17/09/2025,14/10/2025,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,24000,KG,28/10/2025,,111102,BestellungBE25-00614_20260211164808.475_X.pdf
121080096837,05/11/2025,16/12/2025,,Envalior B.V.,,,,X,,,0088104000,DSM PA4T TX1\NAT\73117PB PA4T TX1 NATURAL 入庫倉:M3R10NFT,3000.000,kg,16/12/2025,,901-02M8-002,dc85616a-fe9d-4b5c-a902-f43b3eb7b485.pdf
1013679682,28/07/2025,25/09/2025,,Envalior B.V.,,,,X,,,0088104000,PA4T NYLON 30% GF BLACK UL94V-0,2000.000,KG,25/09/2025,,0899921682,Molex PO1013679682_20250728_031508.pdf
1013679682,28/07/2025,25/09/2025,,Envalior B.V.,,,,X,,,0088104000,PA4T NYLON 30% GF BLACK UL94V-0,2000.000,KG,25/09/2025,,0899921682,Molex PO1013679682_20250728_031508_AQMkAGEz.pdf
1014253006,15/12/2025,16/01/2026,,Envalior B.V.,,,,X,,,0088104000,"ENVALIOR , STANYL_TS250F6D_NC_NATURAL PA46 NYLON 30% GF NATURAL UL94V-0",1000.000,KG,16/01/2026,,0899920793,Molex+PO1014253006_20251215_033952.pdf
1014253006,15/12/2025,16/01/2026,,Envalior B.V.,,,,X,,,0088104000,"ENVALIOR , STANYL_TS250F6D_NC_NATURAL PA46 NYLON 30% GF NATURAL UL94V-0",1000.000,KG,26/01/2026,,0899920793,Molex+PO1014253006_20251215_033952.pdf
1014340779,08/01/2026,16/01/2026,,Envalior B.V.,,,,X,,,0088104000,"MPN : ENVALIOR , STANYL_46HF4550_11000_BLACK PA46 NYLON 50% GF BLACK UL94HB",300000,KG,16/01/2026,,0899921583,Molex+PO1014340779_20260108_081117.pdf
1014374731,16/01/2026,28/01/2026,,Envalior B.V.,,,,X,,,0088104000,"MPN : ENVALIOR , STANYL_46HF4550_11000_BLACK PA46 NYLON 50% GF BLACK UL94HB",25000,KG,28/01/2026,,0899921583,Molex+PO1014374731_20260116_113413.pdf
1014374731,16/01/2026,28/01/2026,,Envalior B.V.,,,,X,,,0088104000,"MPN : ENVALIOR , STANYL_46HF4550_11000_BLACK PA46 NYLON 50% GF BLACK UL94HB",25000,KG,28/01/2026,,0899921583,Molex+PO1014374731_20260116_113413_AQMkAGEz.pdf
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,"ENVALIOR , STANYL_TS250F6D_9B0040_BLACK PA46 NYLON 30% GF BLACK UL94V-0",100000,KG,19/02/2026,,0899920756,Molex+PO1014458377_20260205_042506.pdf
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,"ENVALIOR , STANYL_TS250F6D_9B0040_BLACK PA46 NYLON 30% GF BLACK UL94V-0",200000,KG,06/04/2026,,0899920756,Molex+PO1014458377_20260205_042506.pdf
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,"ENVALIOR , STANYL_TS250F6D_9B0040_BLACK PA46 NYLON 30% GF BLACK UL94V-0",100000,KG,19/02/2026,,0899920756,Molex+PO1014458377_20260205_042506_AQMkAGEz.pdf
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,"ENVALIOR , STANYL_TS250F6D_9B0040_BLACK PA46 NYLON 30% GF BLACK UL94V-0",200000,KG,06/04/2026,,0899920756,Molex+PO1014458377_20260205_042506_AQMkAGEz.pdf
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 30% GF BLACK UL94V-0,100000,KGM,19/02/2026,,STANYL_TS250F6D_9B0040_BLACK,MOLEX1.pdf
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 30% GF BLACK UL94V-0,200000,KGM,06/04/2026,,STANYL_TS250F6D_9B0040_BLACK,MOLEX1.pdf
1014374731,16/01/2026,28/01/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 50% GF BLACK UL94HB,25000,KGM,28/01/2026,,0899921583,MOLEX2.pdf
1014340779,08/01/2026,16/01/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 50% GF BLACK UL94HB,300000,KGM,16/01/2026,,0899921583,MOLEX3.pdf
4682803,05/02/2026,03/03/2026,,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,Kilogram,03/03/2026,,8305515,"SÜDPACK-Bestellung 4682803, vom 05.02.2026.PDF"
4682803,05/02/2026,03/03/2026,,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,Kilogram,04/03/2026,,8305515,"SÜDPACK-Bestellung 4682803, vom 05.02.2026.PDF"
4682803,05/02/2026,03/03/2026,,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,Kilogram,05/03/2026,,8305515,"SÜDPACK-Bestellung 4682803, vom 05.02.2026.PDF"
4682803,05/02/2026,03/03/2026,,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,Kilogram,05/03/2026,,8305515,"SÜDPACK-Bestellung 4682803, vom 05.02.2026.PDF"
4682803,05/02/2026,03/03/2026,,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,Kilogram,06/03/2026,,8305515,"SÜDPACK-Bestellung 4682803, vom 05.02.2026.PDF"
4682803,05/02/2026,03/03/2026,,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,Kilogram,09/03/2026,,8305515,"SÜDPACK-Bestellung 4682803, vom 05.02.2026.PDF"
4682803,05/02/2026,03/03/2026,,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,Kilogram,10/03/2026,,8305515,"SÜDPACK-Bestellung 4682803, vom 05.02.2026.PDF"
4682803,05/02/2026,03/03/2026,,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,Kilogram,10/03/2026,,8305515,"SÜDPACK-Bestellung 4682803, vom 05.02.2026.PDF"
4674421,26/11/2025,11/12/2025,,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1            OCTABIN DSM,22000,Kilogram,11/12/2025,,8305516,"SÜDPACK-Bestellung4674421,vom26.11.2025_20260212081032.720_X.pdf"
4674421,26/11/2025,11/12/2025,,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1            OCTABIN DSM,22000,Kilogram,15/12/2025,,8305516,"SÜDPACK-Bestellung4674421,vom26.11.2025_20260212081032.720_X.pdf"
500009,08/01/2026,18/02/2026,,Envalior B.V.,,,,X,,,0088104000,Akulon XS36-C1,22000,KG,18/02/2026,,510000302,"Wipak Purchase Order 4500297688, 500009, 08.01.202.PDF"
500009,08/01/2026,18/02/2026,,Envalior B.V.,,,,X,,,0088104000,Akulon XS36-C1,22000,KG,26/02/2026,,510000302,"Wipak Purchase Order 4500297688, 500009, 08.01.202.PDF"
500009,23/09/2025,22/10/2025,Wipak Walsrode GmbH,Envalior B.V.,4020036739,2500,KB,X,4020043517,Wipak Walsrode GmbH,4020036739,Akulon XS36-C1,22000,KG,22/10/2025,0000038779,510000302,Wipak Walsrode (Sold-to 4020036739 - Material 38779) - ORDER TYPE KB.PDF
BE-25-02803,01/12/2025,01/12/2025,,Envalior B.V.,,,,X,,,0088104000,Product 1,100,PCS,01/12/2025,,1475444,body_AQMkAGEz_FW_ Bestellung BE-25-02803 _ 1475444_ 1475451_ 1475454.txt
BE-25-02803,01/12/2025,01/12/2025,,Envalior B.V.,,,,X,,,0088104000,Product 2,50,PCS,01/12/2025,,1475451,body_AQMkAGEz_FW_ Bestellung BE-25-02803 _ 1475444_ 1475451_ 1475454.txt
BE-25-02803,01/12/2025,01/12/2025,,Envalior B.V.,,,,X,,,0088104000,Product 3,75,PCS,01/12/2025,,1475454,body_AQMkAGEz_FW_ Bestellung BE-25-02803 _ 1475444_ 1475451_ 1475454.txt
CD80079B,23/01/2026,17/02/2026,,Envalior B.V.,,,,X,,,0088104000,"NYLON, UNFILLED, TYPE6, WHITE, CHEM RECY",40500,LB,17/02/2026,,11022432,body_AQMkAGEz_FW_ CD80079B Rel. 766.txt
BE-25-01212,09/05/2025,09/05/2025,,Envalior B.V.,,,,X,,,0088104000,F-X22092,1,Octabin,09/05/2025,,60477,body_AQMkAGEz_FW_ MF__WG_ Bestellung BE-25-01212.txt
1014253006,15/12/2025,16/01/2026,,Envalior B.V.,,,,X,,,0088104000,STANYL_TS250F6D_NC_NATURAL,1000,KGM,16/01/2026,,0899920793,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014253006.txt"
1014253006,15/12/2025,16/01/2026,,Envalior B.V.,,,,X,,,0088104000,STANYL_TS250F6D_NC_NATURAL,1000,KGM,26/01/2026,,0899920793,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014253006.txt"
1014340779,08/01/2026,16/01/2026,,Envalior B.V.,,,,X,,,0088104000,STANYL_46HF4550_11000_BLACK,300000,KGM,16/01/2026,,0899921583,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014340779.txt"
1014374731,16/01/2026,28/01/2026,,Envalior B.V.,,,,X,,,0088104000,STANYL_46HF4550_11000_BLACK,25000,KGM,28/01/2026,,0899921583,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014374731.txt"
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,STANYL_TS250F6D_9B0040_BLACK,100000,KGM,19/02/2026,,0899920756,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014458377.txt"
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,STANYL_TS250F6D_9B0040_BLACK,200000,KGM,06/04/2026,,0899920756,"body_AQMkAGEz_FW_ Molex, LLC sent a new Purchase Order 1014458377.txt"
PH601610B,14/01/2026,10/04/2026,,Envalior B.V.,,,,X,,,0088104000,"NYLON 6, UNFILLED, IVORY",15000,LB,10/04/2026,,1100941,body_AQMkAGEz_FW_ PH601610B Rel. 630.txt
